,Density,Trajectory,Discovered Shortest Path,Final Shortest Path,Processed Cells,Trial
0,0.06,211,209,201,24837,49
0,0.09,215,209,201,50130,49
0,0.12,239,227,201,90085,49
0,0.15,277,241,201,157676,49
0,0.18,301,261,201,143589,49
0,0.21,257,235,201,168134,49
0,0.24,323,257,201,267224,49
0,0.27,333,263,201,163857,49
0,0.3,421,255,203,525654,49
0,0.32999999999999996,367,255,205,495025,49
0,0.0,201,201,201,10201,50
0,0.03,201,201,201,24453,50
0,0.06,219,213,201,27171,50
0,0.09,221,217,201,26952,50
0,0.12,229,217,201,99616,50
0,0.15,245,229,201,98313,50
0,0.18,261,235,201,128820,50
0,0.21,275,233,201,213427,50
0,0.24,325,253,201,277115,50
0,0.27,275,223,201,337742,50
0,0.3,365,285,201,214032,50
0,0.32999999999999996,579,267,209,740493,50
0,0.0,201,201,201,10201,51
0,0.03,203,203,201,10267,51
0,0.06,235,223,201,92572,51
0,0.09,215,209,201,103967,51
0,0.12,221,219,201,62147,51
0,0.15,249,231,201,120287,51
0,0.18,231,217,201,136648,51
0,0.21,289,237,201,194272,51
0,0.24,309,229,201,306484,51
0,0.27,347,269,205,311268,51
0,0.3,397,299,205,498489,51
0,0.32999999999999996,553,299,209,783035,51
0,0.0,201,201,201,10201,52
0,0.03,205,205,201,47699,52
0,0.06,215,211,201,43049,52
0,0.09,213,209,201,38857,52
0,0.12,251,227,201,58247,52
0,0.15,225,221,201,84322,52
0,0.18,257,229,201,153490,52
0,0.21,295,231,201,251413,52
0,0.24,377,247,201,320728,52
0,0.27,303,249,203,342242,52
0,0.3,413,279,205,210504,52
0,0.32999999999999996,313,229,211,294010,52
0,0.0,201,201,201,10201,53
0,0.03,203,203,201,22304,53
0,0.06,211,209,201,26027,53
0,0.09,233,227,201,75119,53
0,0.12,255,241,201,78406,53
0,0.15,249,231,201,95804,53
0,0.18,265,229,201,147715,53
0,0.21,259,231,201,176702,53
0,0.24,251,229,201,268037,53
0,0.27,333,237,201,283955,53
0,0.3,301,227,203,360230,53
0,0.32999999999999996,515,291,219,598232,53
0,0.0,201,201,201,10201,54
0,0.03,209,209,201,14495,54
0,0.06,211,211,201,60994,54
0,0.09,223,217,201,45574,54
0,0.12,233,223,201,56894,54
0,0.15,229,217,201,140026,54
0,0.18,257,231,201,146049,54
0,0.21,303,233,201,170140,54
0,0.24,375,237,201,205006,54
0,0.27,347,269,203,252801,54
0,0.3,355,231,203,332770,54
0,0.32999999999999996,401,265,211,679426,54
0,0.0,201,201,201,10201,55
0,0.03,217,213,201,35763,55
0,0.06,215,213,201,42554,55
0,0.09,231,229,201,52636,55
0,0.12,241,231,201,55846,55
0,0.15,249,227,201,150346,55
0,0.18,265,239,201,204172,55
0,0.21,261,227,201,188618,55
0,0.24,307,255,201,318627,55
0,0.27,271,227,201,350900,55
0,0.3,289,231,201,261765,55
0,0.32999999999999996,465,313,209,474555,55
0,0.0,201,201,201,10201,56
0,0.03,207,205,201,36011,56
0,0.06,213,209,201,71465,56
0,0.09,223,219,201,55127,56
0,0.12,249,225,201,63639,56
0,0.15,289,239,201,190639,56
0,0.18,265,235,201,207183,56
0,0.21,289,237,201,179400,56
0,0.24,321,243,201,237308,56
0,0.27,305,243,209,254822,56
0,0.3,329,247,201,314633,56
0,0.32999999999999996,747,311,209,848048,56
0,0.0,201,201,201,10201,57
0,0.03,205,205,201,45384,57
0,0.06,207,207,201,48904,57
0,0.09,227,217,201,46065,57
